Variable,Pearson r with age,p-value,Direction
SBP_brachial,0.812,4.956e-02,increases with age
DBP_brachial,-0.589,2.182e-01,decreases with age
MBP_brachial,0.64,1.711e-01,increases with age
PP_brachial,0.994,5.355e-05,increases with age
PWV_aortic,0.994,5.323e-05,increases with age
PWV_carotid_femoral,0.997,1.107e-05,increases with age
augmentation_index,0.996,2.944e-05,increases with age
stroke_volume,-0.999,4.521e-07,decreases with age
heart_rate,0.201,7.025e-01,increases with age
cardiac_output,-0.928,7.604e-03,decreases with age
relative_stiffness_index,0.942,4.979e-03,increases with age
apparent_compliance_index,-0.95,3.627e-03,decreases with age
